Date,Open,High,Low,Close,Adj Close,Volume
2000-11-13,30.219999,30.219999,30.219999,30.219999,20.981020,0
2000-11-14,31.010000,31.010000,31.010000,31.010000,21.529501,0
2000-11-15,31.200001,31.200001,31.200001,31.200001,21.661413,0
2000-11-16,30.700001,30.700001,30.700001,30.700001,21.314264,0
2000-11-17,30.559999,30.559999,30.559999,30.559999,21.217072,0
2000-11-20,29.840000,29.840000,29.840000,29.840000,20.717196,0
2000-11-21,29.850000,29.850000,29.850000,29.850000,20.724133,0
2000-11-22,29.240000,29.240000,29.240000,29.240000,20.300615,0
2000-11-24,29.830000,29.830000,29.830000,29.830000,20.710245,0
2000-11-27,29.930000,29.930000,29.930000,29.930000,20.779675,0
2000-11-28,29.459999,29.459999,29.459999,29.459999,20.453365,0
2000-11-29,29.510000,29.510000,29.510000,29.510000,20.488079,0
2000-11-30,28.930000,28.930000,28.930000,28.930000,20.085398,0
2000-12-01,29.080000,29.080000,29.080000,29.080000,20.189545,0
2000-12-04,29.190001,29.190001,29.190001,29.190001,20.265907,0
2000-12-05,30.480000,30.480000,30.480000,30.480000,21.161528,0
2000-12-06,29.950001,29.950001,29.950001,29.950001,20.793571,0
2000-12-07,29.790001,29.790001,29.790001,29.790001,20.682478,0
2000-12-08,30.590000,30.590000,30.590000,30.590000,21.237896,0
2000-12-11,30.959999,30.959999,30.959999,30.959999,21.494778,0
2000-12-12,30.650000,30.650000,30.650000,30.650000,21.279551,0
2000-12-13,30.320000,30.320000,30.320000,30.320000,21.050440,0
2000-12-14,29.799999,29.799999,29.799999,29.799999,20.689421,0
2000-12-15,29.230000,29.230000,29.230000,29.230000,20.293680,0
2000-12-18,29.440001,29.440001,29.440001,29.440001,20.439476,0
2000-12-19,28.980000,28.980000,28.980000,28.980000,20.120113,0
2000-12-20,27.799999,27.799999,27.799999,27.799999,19.420828,0
2000-12-21,27.950001,27.950001,27.950001,27.950001,19.525616,0
2000-12-22,28.790001,28.790001,28.790001,28.790001,20.112438,0
2000-12-26,28.969999,28.969999,28.969999,28.969999,20.238173,0
2000-12-27,29.360001,29.360001,29.360001,29.360001,20.510626,0
2000-12-28,29.629999,29.629999,29.629999,29.629999,20.699240,0
2000-12-29,29.260000,29.260000,29.260000,29.260000,20.440771,0
2001-01-02,28.280001,28.280001,28.280001,28.280001,19.756147,0
2001-01-03,29.760000,29.760000,29.760000,29.760000,20.790062,0
2001-01-04,29.389999,29.389999,29.389999,29.389999,20.531578,0
2001-01-05,28.540001,28.540001,28.540001,28.540001,19.937780,0
2001-01-08,28.459999,28.459999,28.459999,28.459999,19.881893,0
2001-01-09,28.610001,28.610001,28.610001,28.610001,19.986673,0
2001-01-10,29.020000,29.020000,29.020000,29.020000,20.273102,0
2001-01-11,29.410000,29.410000,29.410000,29.410000,20.545547,0
2001-01-12,29.299999,29.299999,29.299999,29.299999,20.468708,0
2001-01-16,29.500000,29.500000,29.500000,29.500000,20.608425,0
2001-01-17,29.610001,29.610001,29.610001,29.610001,20.685270,0
2001-01-18,29.940001,29.940001,29.940001,29.940001,20.915813,0
2001-01-19,29.790001,29.790001,29.790001,29.790001,20.811018,0
2001-01-22,29.799999,29.799999,29.799999,29.799999,20.818005,0
2001-01-23,30.270000,30.270000,30.270000,30.270000,21.146338,0
2001-01-24,30.379999,30.379999,30.379999,30.379999,21.223186,0
2001-01-25,30.160000,30.160000,30.160000,30.160000,21.069498,0
2001-01-26,30.129999,30.129999,30.129999,30.129999,21.048544,0
2001-01-29,30.400000,30.400000,30.400000,30.400000,21.237158,0
2001-01-30,30.600000,30.600000,30.600000,30.600000,21.376879,0
2001-01-31,30.389999,30.389999,30.389999,30.389999,21.230173,0
2001-02-01,30.510000,30.510000,30.510000,30.510000,21.314003,0
2001-02-02,29.950001,29.950001,29.950001,29.950001,20.922808,0
2001-02-05,30.010000,30.010000,30.010000,30.010000,20.964712,0
2001-02-06,30.030001,30.030001,30.030001,30.030001,20.978682,0
2001-02-07,29.799999,29.799999,29.799999,29.799999,20.818005,0
2001-02-08,29.600000,29.600000,29.600000,29.600000,20.678288,0
2001-02-09,29.200001,29.200001,29.200001,29.200001,20.398848,0
2001-02-12,29.510000,29.510000,29.510000,29.510000,20.615412,0
2001-02-13,29.250000,29.250000,29.250000,29.250000,20.433786,0
2001-02-14,29.250000,29.250000,29.250000,29.250000,20.433786,0
2001-02-15,29.520000,29.520000,29.520000,29.520000,20.622398,0
2001-02-16,28.980000,28.980000,28.980000,28.980000,20.245161,0
2001-02-20,28.440001,28.440001,28.440001,28.440001,19.867920,0
2001-02-21,27.930000,27.930000,27.930000,27.930000,19.511644,0
2001-02-22,27.799999,27.799999,27.799999,27.799999,19.420828,0
2001-02-23,27.700001,27.700001,27.700001,27.700001,19.350965,0
2001-02-26,28.240000,28.240000,28.240000,28.240000,19.728205,0
2001-02-27,27.920000,27.920000,27.920000,27.920000,19.504652,0
2001-02-28,27.520000,27.520000,27.520000,27.520000,19.225224,0
2001-03-01,27.530001,27.530001,27.530001,27.530001,19.232204,0
2001-03-02,27.410000,27.410000,27.410000,27.410000,19.148373,0
2001-03-05,27.549999,27.549999,27.549999,27.549999,19.246176,0
2001-03-06,27.840000,27.840000,27.840000,27.840000,19.448763,0
2001-03-07,28.010000,28.010000,28.010000,28.010000,19.567533,0
2001-03-08,28.000000,28.000000,28.000000,28.000000,19.560543,0
2001-03-09,27.309999,27.309999,27.309999,27.309999,19.078512,0
2001-03-12,26.150000,26.150000,26.150000,26.150000,18.268150,0
2001-03-13,26.549999,26.549999,26.549999,26.549999,18.547579,0
2001-03-14,25.900000,25.900000,25.900000,25.900000,18.093498,0
2001-03-15,25.990000,25.990000,25.990000,25.990000,18.156372,0
2001-03-16,25.379999,25.379999,25.379999,25.379999,17.780172,0
2001-03-19,25.850000,25.850000,25.850000,25.850000,18.109444,0
2001-03-20,25.250000,25.250000,25.250000,25.250000,17.689110,0
2001-03-21,24.780001,24.780001,24.780001,24.780001,17.359840,0
2001-03-22,24.670000,24.670000,24.670000,24.670000,17.282776,0
2001-03-23,25.180000,25.180000,25.180000,25.180000,17.640057,0
2001-03-26,25.459999,25.459999,25.459999,25.459999,17.836220,0
2001-03-27,26.070000,26.070000,26.070000,26.070000,18.263565,0
2001-03-28,25.420000,25.420000,25.420000,25.420000,17.808191,0
2001-03-29,25.290001,25.290001,25.290001,25.290001,17.717121,0
2001-03-30,25.600000,25.600000,25.600000,25.600000,17.934292,0
2001-04-02,25.200001,25.200001,25.200001,25.200001,17.654068,0
2001-04-03,24.290001,24.290001,24.290001,24.290001,17.016571,0
2001-04-04,24.209999,24.209999,24.209999,24.209999,16.960516,0
2001-04-05,25.330000,25.330000,25.330000,25.330000,17.745144,0
2001-04-06,24.820000,24.820000,24.820000,24.820000,17.387867,0
2001-04-09,25.040001,25.040001,25.040001,25.040001,17.541988,0
2001-04-10,25.740000,25.740000,25.740000,25.740000,18.032375,0
2001-04-11,25.709999,25.709999,25.709999,25.709999,18.011354,0
2001-04-12,26.100000,26.100000,26.100000,26.100000,18.284578,0
2001-04-16,25.990000,25.990000,25.990000,25.990000,18.207510,0
2001-04-17,26.270000,26.270000,26.270000,26.270000,18.403679,0
2001-04-18,27.290001,27.290001,27.290001,27.290001,19.118235,0
2001-04-19,27.670000,27.670000,27.670000,27.670000,19.384451,0
2001-04-20,27.440001,27.440001,27.440001,27.440001,19.223318,0
2001-04-23,27.000000,27.000000,27.000000,27.000000,18.915083,0
2001-04-24,26.700001,26.700001,26.700001,26.700001,18.704910,0
2001-04-25,27.139999,27.139999,27.139999,27.139999,19.013149,0
2001-04-26,27.280001,27.280001,27.280001,27.280001,19.111231,0
2001-04-27,27.690001,27.690001,27.690001,27.690001,19.398460,0
2001-04-30,27.690001,27.690001,27.690001,27.690001,19.398460,0
2001-05-01,28.070000,28.070000,28.070000,28.070000,19.664675,0
2001-05-02,28.150000,28.150000,28.150000,28.150000,19.720720,0
2001-05-03,27.719999,27.719999,27.719999,27.719999,19.419476,0
2001-05-04,28.120001,28.120001,28.120001,28.120001,19.699701,0
2001-05-07,28.030001,28.030001,28.030001,28.030001,19.636652,0
2001-05-08,28.000000,28.000000,28.000000,28.000000,19.615635,0
2001-05-09,27.879999,27.879999,27.879999,27.879999,19.531563,0
2001-05-10,27.860001,27.860001,27.860001,27.860001,19.517561,0
2001-05-11,27.660000,27.660000,27.660000,27.660000,19.377445,0
2001-05-14,27.070000,27.070000,27.070000,27.070000,18.964117,0
2001-05-15,27.730000,27.730000,27.730000,27.730000,19.426489,0
2001-05-16,28.490000,28.490000,28.490000,28.490000,19.958910,0
2001-05-17,28.639999,28.639999,28.639999,28.639999,20.063992,0
2001-05-18,28.709999,28.709999,28.709999,28.709999,20.113037,0
2001-05-21,29.240000,29.240000,29.240000,29.240000,20.484322,0
2001-05-22,29.200001,29.200001,29.200001,29.200001,20.456305,0
2001-05-23,28.709999,28.709999,28.709999,28.709999,20.113037,0
2001-05-24,28.830000,28.830000,28.830000,28.830000,20.197102,0
2001-05-25,28.530001,28.530001,28.530001,28.530001,19.986937,0
2001-05-29,28.250000,28.250000,28.250000,28.250000,19.790773,0
2001-05-30,27.770000,27.770000,27.770000,27.770000,19.454508,0
2001-05-31,27.969999,27.969999,27.969999,27.969999,19.594616,0
2001-06-01,28.120001,28.120001,28.120001,28.120001,19.699701,0
2001-06-04,28.260000,28.260000,28.260000,28.260000,19.797785,0
2001-06-05,28.680000,28.680000,28.680000,28.680000,20.092020,0
2001-06-06,28.400000,28.400000,28.400000,28.400000,19.895857,0
2001-06-07,28.559999,28.559999,28.559999,28.559999,20.007950,0
2001-06-08,28.280001,28.280001,28.280001,28.280001,19.811794,0
2001-06-11,28.010000,28.010000,28.010000,28.010000,19.622648,0
2001-06-12,28.030001,28.030001,28.030001,28.030001,19.636652,0
2001-06-13,27.740000,27.740000,27.740000,27.740000,19.433496,0
2001-06-14,27.209999,27.209999,27.209999,27.209999,19.062195,0
2001-06-15,27.090000,27.090000,27.090000,27.090000,18.978130,0
2001-06-18,26.930000,26.930000,26.930000,26.930000,18.866043,0
2001-06-19,26.990000,26.990000,26.990000,26.990000,18.908068,0
2001-06-20,27.270000,27.270000,27.270000,27.270000,19.104229,0
2001-06-21,27.540001,27.540001,27.540001,27.540001,19.293383,0
2001-06-22,27.209999,27.209999,27.209999,27.209999,19.107294,0
2001-06-25,27.059999,27.059999,27.059999,27.059999,19.001961,0
2001-06-26,27.070000,27.070000,27.070000,27.070000,19.008984,0
2001-06-27,27.010000,27.010000,27.010000,27.010000,18.966852,0
2001-06-28,27.360001,27.360001,27.360001,27.360001,19.212626,0
2001-06-29,27.450001,27.450001,27.450001,27.450001,19.275829,0
2001-07-02,27.610001,27.610001,27.610001,27.610001,19.388170,0
2001-07-03,27.559999,27.559999,27.559999,27.559999,19.353071,0
2001-07-05,27.230000,27.230000,27.230000,27.230000,19.121338,0
2001-07-06,26.610001,26.610001,26.610001,26.610001,18.685965,0
2001-07-09,26.770000,26.770000,26.770000,26.770000,18.798319,0
2001-07-10,26.379999,26.379999,26.379999,26.379999,18.524456,0
2001-07-11,26.340000,26.340000,26.340000,26.340000,18.496365,0
2001-07-12,26.980000,26.980000,26.980000,26.980000,18.945780,0
2001-07-13,27.129999,27.129999,27.129999,27.129999,19.051111,0
2001-07-16,26.820000,26.820000,26.820000,26.820000,18.833431,0
2001-07-17,27.100000,27.100000,27.100000,27.100000,19.030050,0
2001-07-18,26.920000,26.920000,26.920000,26.920000,18.903645,0
2001-07-19,27.070000,27.070000,27.070000,27.070000,19.008984,0
2001-07-20,26.990000,26.990000,26.990000,26.990000,18.952805,0
2001-07-23,26.580000,26.580000,26.580000,26.580000,18.664902,0
2001-07-24,26.139999,26.139999,26.139999,26.139999,18.355927,0
2001-07-25,26.500000,26.500000,26.500000,26.500000,18.608725,0
2001-07-26,26.809999,26.809999,26.809999,26.809999,18.826401,0
2001-07-27,26.879999,26.879999,26.879999,26.879999,18.875559,0
2001-07-30,26.850000,26.850000,26.850000,26.850000,18.854496,0
2001-07-31,26.980000,26.980000,26.980000,26.980000,18.945780,0
2001-08-01,27.110001,27.110001,27.110001,27.110001,19.037075,0
2001-08-02,27.209999,27.209999,27.209999,27.209999,19.107294,0
2001-08-03,27.080000,27.080000,27.080000,27.080000,19.016006,0
2001-08-06,26.770000,26.770000,26.770000,26.770000,18.798319,0
2001-08-07,26.830000,26.830000,26.830000,26.830000,18.840446,0
2001-08-08,26.379999,26.379999,26.379999,26.379999,18.524456,0
2001-08-09,26.370001,26.370001,26.370001,26.370001,18.517427,0
2001-08-10,26.490000,26.490000,26.490000,26.490000,18.601696,0
2001-08-13,26.549999,26.549999,26.549999,26.549999,18.643824,0
2001-08-14,26.480000,26.480000,26.480000,26.480000,18.594673,0
2001-08-15,26.299999,26.299999,26.299999,26.299999,18.468271,0
2001-08-16,26.360001,26.360001,26.360001,26.360001,18.510412,0
2001-08-17,25.940001,25.940001,25.940001,25.940001,18.215479,0
2001-08-20,26.129999,26.129999,26.129999,26.129999,18.348900,0
2001-08-21,25.820000,25.820000,25.820000,25.820000,18.131214,0
2001-08-22,26.000000,26.000000,26.000000,26.000000,18.257610,0
2001-08-23,25.920000,25.920000,25.920000,25.920000,18.201431,0
2001-08-24,26.400000,26.400000,26.400000,26.400000,18.538498,0
2001-08-27,26.290001,26.290001,26.290001,26.290001,18.461252,0
2001-08-28,25.910000,25.910000,25.910000,25.910000,18.194410,0
2001-08-29,25.670000,25.670000,25.670000,25.670000,18.025883,0
2001-08-30,25.250000,25.250000,25.250000,25.250000,17.730957,0
2001-08-31,25.360001,25.360001,25.360001,25.360001,17.808197,0
2001-09-04,25.340000,25.340000,25.340000,25.340000,17.794147,0
2001-09-05,25.260000,25.260000,25.260000,25.260000,17.737976,0
2001-09-06,24.730000,24.730000,24.730000,24.730000,17.365795,0
2001-09-07,24.280001,24.280001,24.280001,24.280001,17.049799,0
2001-09-10,24.370001,24.370001,24.370001,24.370001,17.113001,0
2001-09-17,23.139999,23.139999,23.139999,23.139999,16.249268,0
2001-09-18,22.959999,22.959999,22.959999,22.959999,16.122869,0
2001-09-19,22.580000,22.580000,22.580000,22.580000,15.856030,0
2001-09-20,21.889999,21.889999,21.889999,21.889999,15.371499,0
2001-09-21,21.400000,21.400000,21.400000,21.400000,15.079778,0
2001-09-24,22.209999,22.209999,22.209999,22.209999,15.650556,0
2001-09-25,22.379999,22.379999,22.379999,22.379999,15.770345,0
2001-09-26,22.240000,22.240000,22.240000,22.240000,15.671697,0
2001-09-27,22.490000,22.490000,22.490000,22.490000,15.847860,0
2001-09-28,23.000000,23.000000,23.000000,23.000000,16.207230,0
2001-10-01,22.889999,22.889999,22.889999,22.889999,16.129721,0
2001-10-02,23.160000,23.160000,23.160000,23.160000,16.319981,0
2001-10-03,23.680000,23.680000,23.680000,23.680000,16.686405,0
2001-10-04,23.660000,23.660000,23.660000,23.660000,16.672316,0
2001-10-05,23.670000,23.670000,23.670000,23.670000,16.679354,0
2001-10-08,23.480000,23.480000,23.480000,23.480000,16.545467,0
